Company,Email,Country,Website,Category,Source
Retail Supplies by WR Display & Packaging - Sign in,orderdesk@wrdisplay.ca,Canada,https://wrdisplay.ca/login.php,Unknown,Directory
Athenæum,here@gmail.com,Canada,http://www.athenaeum.athenaverse.com/archives/00001066.htm,Unknown,SerpApi
Ineapple: Published Password Lists: 1,info@ineapple.com,Canada,https://ineapple.com/known_pass1,Unknown,SerpApi
RPP Devices - RPP USA,customer.service@tamcogroup.com,United States,https://rpp-usa.com/,Unknown,Website
Assorted Colored Glass Peg-Bottomed Tea Light Holders — Delicate Dishes LLC,events@delicatedishes.com,United States,https://www.delicatedishes.com/candle-holders/sassorted-colored-tealight-holders,Unknown,Website
Bubbles Glass with Gold Rim Votive & Tea Light Candle Holder – Floating Pearls®,inspire@floatingpearls.com,United States,https://vasepearlfection.com/products/bubble-textured-glass-with-gold-rim-votive-tea-light-candle-holder,Unknown,Website
"IndiaMART - Indian Manufacturers Suppliers Exporters Directory, India Exporter Manufacturer",customercare@indiamart.com,United States,https://www.indiamart.com/,Unknown,Google
Costco Wholesale Corporation  999 Lake Drive  USA. Importers and Exporters,rita@hansedesigns.com,United States,http://usa.importers-directory.net/candle-1007541.html,Unknown,Google
"Wholesale Distributor Denver CO | Nimbus Wholesale | 15,000+ Products",info@nimbusimports.com,United States,https://nimbusimports.com/,Unknown,Google
usawholesalesupplies.com – USA Wholesale Supplies,connect@usawholesalesupplies.com,United States,https://usawholesalesupplies.com/,Unknown,Facebook
Candle Holder Wholesale Supplier Online | Shop Candle Holder | ExpoBazaar,info@expobazaar.com,United States,https://usa.expobazaar.com/collections/candle-holder,Unknown,Google
Contact Us For All Of Your Questions About A19 Ceramic Lighting,info@a19.com,Canada,https://a19.com/,Unknown,Website
"11.75in Long Kamran Tray with Two Bowls
 – Jamali Garden",orders@jamaligarden.com,United States,https://www.jamaligarden.com/products/kamran-tray-with-two-bowls,Unknown,Google
Glass Tea Light Holders Wholesale,chenbo@cenglass.com,United States,https://www.cenglass.com/glass-tealight-candle-holder.html,Unknown,Google
Sunday Candle Co,hello@sundaycandle.com,United States,https://www.sundaycandle.com/,Imported,CSV Import
The Weathered Wick Studio,info@theweatheredwick.com,United States,https://theweatheredwick.com/,Imported,CSV Import
Rustic Living,sales@rusticliving.com,United States,,Retailer,CSV Import
Rustic Living,alamosasales@rusticliving.com,United States,,Retailer,CSV Import
About Google,smart.journey.prober@gmail.com,Indonesia,,Unknown,CSV Import
About Google,press@google.com,Indonesia,,Unknown,CSV Import
About Google,asxvmprobertest@gmail.com,Indonesia,,Imported,CSV Import
Rustic Log Furniture,sales@rusticlogfurniture.com,United Kingdom,,Imported,CSV Import
Firedworks Gallery,firedworks.info@gmail.com,Unknown,,Imported,CSV Import
Alamosa Home LLC,hunter@alamosa.com,Mexico,,Imported,CSV Import
Contact Us,info@mybigr.com,Mexico,,Imported,CSV Import
Contact Us,custservonline@mybigr.com,Mexico,,Imported,CSV Import
Idea Chíc,david@ideachic.net,United States,,Imported,CSV Import
"Michaels Arts and Crafts Store | 7410 W 52nd Avenue, Arvada",support@michaels.com,United States,,Imported,CSV Import
"Michaels Arts and Crafts Store | 7410 W 52nd Avenue, Arvada",michaels@michaels.com,United States,,Imported,CSV Import
Homestead Antique Mall,homesteadantiquemall@gmail.com,United States,,Imported,CSV Import
Outside The Box Home &amp; Garden Décor,info@outsidetheboxdecor.net,Unknown,,Imported,CSV Import
Rare Finds Warehouse,tony@rarefinds.com,United States,,Imported,CSV Import
Rare Finds Warehouse,mary@rare-finds.com,United States,,Imported,CSV Import
Rare Finds Warehouse,brad@rarefinds.com,United States,,Imported,CSV Import
Davis Street Mercantile,hello@davisstreetmercantile.com,,,Imported,CSV Import
The Sample House/Corp. Offices,service@samplehouse.com,United States,,Imported,CSV Import
Davis Street Mercantile,celebrate@davisstreetmercantile.com,United States,,Imported,CSV Import
Zhen Import,info@zhenimport.com,Canada,https://zhenimport.com,Imported,CSV Import
Moodgie,wholesale@moodgie.ca,Canada,https://moodgie.ca/en/pages/contact-us,Imported,CSV Import
TurkHome,trade@turkhome.ca,Canada,https://turkhome.ca/pages/trade,Imported,CSV Import
OBJ Studio,studio@objstudio.ca,Canada,https://objstudio.ca/blogs/news/wholesale-modern-home-decor-obj-studio-toronto,Imported,CSV Import
Camilia Supply,account@camiliasupply.com,Canada,https://camiliasupply.com,Imported,CSV Import
GO Home,russellc@gohomeltd.com,USA,https://www.dallasmarketcenter.com/exhibitors/go-home/,Imported,CSV Import
Odelia Home,sales@shopodelia.com,USA,https://shopodelia.com,Imported,CSV Import
Heirloom Decor Wholesale,heirloomhomedecornj@gmail.com,USA,https://heirloomdecorwholesale.com/contact/,Imported,CSV Import
Chesapeake Merchandising,sales@chesapeakemerch.com,USA,https://www.chesapeakemerch.com,Imported,CSV Import
Give,givellc.dsm@gmail.com,USA,https://www.givedsm.com,Imported,CSV Import
Sticks Gallery,retaileast@sticks.com,USA,https://sticks.com/pages/sticks-gallery,Imported,CSV Import
Gib Carson Associates,info@gibcarson.com,USA,https://gibcarson.com,Imported,CSV Import
Mag.Pi,acarleton@shopmagpi.net,USA,https://shopmagpi.com,Imported,CSV Import
Lightopia,info@lightopiaonline.com,USA,https://lightopiaonline.com,Imported,CSV Import
Hudson Grace,hello@hudsongrace.com,USA,https://hudsongrace.com,Imported,CSV Import
The Everest Trader,sales@theeveresttrader.com,USA,https://www.theeveresttrader.com,Imported,CSV Import
David Christopher's,info@davidchristophers.com,USA,https://shopdavidchristophers.com,Imported,CSV Import
Directory - Alaska Chamber,info@alaskachamber.com,United States,https://business.alaskachamber.com/list/FindStartsWith?term=A,Unknown,Website
Vendor Locator,info@growersc.com,Canada,https://www.growersc.com/vendor-locator,Unknown,Website
"Factory direct wholesale Tea light holder,china glass tea light holders suppliers&exporter",sales05@szrxglassware.com,United States,https://www.candle-holder-supplier.com/products/Tea-light-holder.htm,Unknown,Google
Tealite & Votive Holders - Putti Fine Furnishings Canada,putticontact@gmail.com,Canada,https://www.putti.ca/collections/votive-holders,Unknown,Website
Tealight + Votive Holders,support@yummicandles.com,United States,https://www.yummicandles.com/collections/tealight-votive-holders,Unknown,Website
Votive & Tea Light Holders,info@mariedumas.com,United States,https://mariedumas.com/collections/votive-tea-light-holders,Unknown,Website
Lantern Lighting Company,informe@lanternlightingcompany.com,Canada,https://www.lanternlightingcompany.com/,Unknown,Website
Canvas Candle Company founder talks good scents | Vancouver Sun,Aharris@postmedia.com,Canada,https://vancouversun.com/life/style-qa-canvas-candle-company-founder-talks-good-scents,Unknown,SerpApi
Wicks & Wax Candle Making Supplies,sales@wicksandwax.com,Canada,https://wicksandwax.com/,Unknown,SerpApi
Indaba Home,info@indabahome.com,Canada,https://indabahome.com/?srsltid=AfmBOopuTgKl8bE8hIjUCeGDpzjTltQ2xiUUfGkP2DDHGyDS30oGdDwJ,Unknown,SerpApi
"100% Pure Beeswax Candles at Honey Candles Store
 – Honey Candles Canada",info@honeycandles.com,United States,https://www.honeycandles.com/?srsltid=AfmBOooDrPlhvz5byiVEwwsGDJmmCfBp8kaSmGc7TUl2s4Qm6qTpLZx3,Unknown,SerpApi
"Beeswax Candles Handmade in Colorado since 1991
 – Bluecorn Candles",sales@beeswaxcandles.com,United States,https://bluecorncandles.com/products/halloween-orange-heavy-glass-votive-tea-light-holders-50-recycled-glass-2oz,Unknown,Google
Lower Mainland Commercial Lighting Specialists – Buy The Right Light,buytherightlight@gmail.com,Canada,https://buytherightlight.ca/,Unknown,Google
LED Lights Vancouver BC | Wholesale LED Supplier | Votatec,Info@votatec.ca,Canada,https://votatec.ca/led-lights-vancouver-bc/,Unknown,Google
Canadian Wholesale Directory - Directory > Importers,sultan@arabiannights.ca,Canada,https://www.shopwholesale.ca/directory/importers,Unknown,Google
"Tealight + Votive Holders
 – Yummi Candles Canada",support@neo-image.com,Canada,https://www.yummicandles.ca/collections/tealight-votive-holders,Unknown,Google
"LED Lights and Parts, World of LED Lights, Vancouver British Columbia",info@lightsandparts.com,Canada,https://lightsandparts.com/,Unknown,Google
Ceramics | Cathy Terepocki | British Columbia,info@cathyterepocki.com,Canada,https://www.cathyterepocki.com/,Unknown,Google
Ceramic Arts Canada | Creating Business Opportunities,info@ceramicarts.com,Canada,https://ceramicarts.com/,Unknown,Website
Top 5 Best Paper Cup Manufacturers in Canada | YOON,info@yoonpak.com,Canada,https://www.yoonpak.com/paper-cup-sustainable-solutions-canadian-manufacturers/,Unknown,Google
"Contact Us - Tripar International, Inc.",web_orders@tripar.com,United States,https://www.tripar.com/,Unknown,Google
The 2026 Short-List of Home Decor Distributors by Region,marketing@wholesalehelper.io,United States,https://wholesalehelper.io/blog/best-home-decor-distributors/,Unknown,Google
Wholesale Glass and Mirror Supplier | Fab Glass,info@fab.glass,United States,https://fab.glass/,Unknown,Google
Wholesale Liquor Glassware & Cups - New York Supplier,info@relisandroth.com,United States,https://www.relisandroth.com/List/glassware,Unknown,Google
Mobilart,info@mobilart.ca,Canada,https://mobilart.ca/pages/showroom,Imported,CSV Import
Hibou Home,info@hiboudesignco.com,USA,https://www.hiboudesignco.com/en/contact,Imported,CSV Import
Boho Boutique Montreal,info@bohoboutiquemtl.com,Canada,https://boho-boutique-mtl.myshopify.com/pages/contact-us,Imported,CSV Import
Option 2,orders@myoption2.com,Canada,https://www.myoption2.ca,Imported,CSV Import
The Drake General Store,hello@drakegeneralstore.ca,Canada,https://www.drakegeneralstore.ca,Imported,CSV Import
STANDA Importing & Distributing,mark@standaimporting.com,Canada,https://www.standaimporting.com,Imported,CSV Import
Of Things Past,sales@ofthingspast.com,Canada,https://www.ofthingspast.com,Imported,CSV Import
Mjolk,info@mjkshop.com,Canada,https://www.mjolk.ca,Imported,CSV Import
Lerman Decor,info@lermandecor.com,Canada,https://lermandecor.com,Imported,CSV Import
InSTYLE Home & Rugs,info@instylehome.ca,Canada,https://instylehome.ca/pages/trade-program,Imported,CSV Import
David Shaw Designs,info@davidshawdesigns.com,Canada,https://davidshawdesigns.com,Imported,CSV Import
Canaroma Bath & Tile,marketing@canaroma.com,Canada,https://www.canaroma.ca,Imported,CSV Import
Home Material Decor,homematerialdecor@gmail.com,Canada,https://www.homematerialdecor.ca,Imported,CSV Import
C.J. Marketing,info@cjmarketing.com,Canada,https://www.cjmarketing.com,Imported,CSV Import
Hokum,info@hokum.ca,Canada,https://www.hokum.ca,Imported,CSV Import
Forpost Trade,info@forpost-trade.ca,Canada,https://www.forpost-trade.ca,Imported,CSV Import
Tuin International,shop@tuininternational.com,Canada,https://tuininternational.com,Imported,CSV Import
The Tate Group,stan@thetategroup.com,Canada,https://thetategroup.com,Imported,CSV Import
SDS Distributors,info@sdsdistributors.com,Canada,https://www.sdsdistributors.com,Imported,CSV Import
Rosha Living,customerservice@roshaliving.com,Canada,https://roshaliving.com,Imported,CSV Import
Northwood Collection,info@northwoodcollection.com,Canada,https://www.northwoodcollection.com,Imported,CSV Import
Jannex,sales@jannex.com,Canada,https://jannex.com,Imported,CSV Import
HEU Imports,heuimports2020@gmail.com,Canada,https://heuimports.com,Imported,CSV Import
GRP Rugs,wholesale@grprugs.com,Canada,https://www.grprugs.com,Imported,CSV Import
Florenza,info@florenza.com,Canada,https://www.florenza.com,Imported,CSV Import
Dundee Deco,sales@dundeedeco.com,Canada,https://dundeedeco.com,Imported,CSV Import
Canadian Gift Concept,sales@canadiangiftconcept.com,Canada,https://cgconline.ca,Imported,CSV Import
Bella Flor Canada,info@bellaflor.ca,Canada,https://bellaflor.ca,Imported,CSV Import
Bacon Basketware,sales@baconbasket.com,Canada,https://baconbasket.com,Imported,CSV Import
Creative Home Decor,info@creative-homedecor.com,Canada,https://creative-homedecor.com/contact-us/,Imported,CSV Import
The Independent Mercantile,office@independentmercantile.com,Canada,https://www.independentmercantile.com,Imported,CSV Import
Winnipeg Home Decor,winnipeghomedecor@gmail.com,Canada,https://winnipeghomedecor.com/pages/contact-us,Imported,CSV Import
Contessa Fine Furniture & Home Decor,info@contessahome.com,Canada,https://www.contessahome.com,Imported,CSV Import
The Colour Market,kerrisdale@thecolourmarket.com,Canada,https://thecolourmarket.com/contact-us-gift-shop-vancouver/,Imported,CSV Import
Olive + Wild,info@oliveandwild.com,Canada,https://oliveandwild.com/pages/contact-us,Imported,CSV Import
Livingspace,trade@livingspace.com,Canada,https://livingspace.com/pages/contact,Imported,CSV Import
Inform Interiors,info@informinteriors.com,Canada,https://www.informinteriors.com,Imported,CSV Import
Indaba Home,info@indabatrading.com,Canada,https://indabahome.com,Imported,CSV Import
The Happy Home Line,info@thehappyhomeline.com,Canada,https://thehappyhomeline.com/pages/wholesale-inquiries,Imported,CSV Import
Sopyc Agencies,sales@sopycagencies.ca,Canada,https://www.sopycagencies.ca,Imported,CSV Import
The Citizenry,assistant@the-citizenry.com,,https://www.the-citizenry.com,Imported,CSV Import
Schoolhouse,hello@schoolhouse.com,USA,https://www.schoolhouse.com,Imported,CSV Import
Maison Inc.,shop@maisoninc.com,USA,https://www.maisoninc.com,Imported,CSV Import
K & K Interiors,angela.roberts@kkinteriors.com,USA,https://www.kkinteriors.com,Imported,CSV Import
Haus & Home,info@hausandhomedecor.com,USA,https://hausandhomedecor.com,Imported,CSV Import
The Met Store,store.support@metmuseum.org,USA,https://store.metmuseum.org,Imported,CSV Import
Roman and Williams Guild,trade@rwguild.com,USA,https://rwguild.com,Imported,CSV Import
Regency International,hq@regency-rib.com,USA,https://www.regency-rib.com,Imported,CSV Import
MOMA Design Store,store@moma.org,USA,https://store.moma.org,Imported,CSV Import
John Derian Company,studio@johnderian.com,USA,https://www.johnderian.com,Imported,CSV Import
Food52,hello@food52.com,USA,https://food52.com,Imported,CSV Import
DecoratorsBest,info@decoratorsbest.com,USA,https://www.decoratorsbest.com,Imported,CSV Import
The Depot Gift Shop,nikki.depotgift@gmail.com,USA,https://www.depotgiftshop.com/contact,Imported,CSV Import
Wills Company,info@willsco.net,USA,https://willsco.net,Imported,CSV Import
TYSA Direct,sales@tysadirect.com,USA,https://www.tysadirect.com,Imported,CSV Import
Mother Co. Plants,wholesale@mother-plants.com,USA,https://www.mother-plants.com/contact,Imported,CSV Import
Esschert Design USA,info@esschertdesignusa.com,USA,https://www.esschertdesignusa.com/contact/,Imported,CSV Import
Laissez Faire & Company,laissezfaireascp@gmail.com,USA,https://www.laissezfaireandcompany.com,Imported,CSV Import
Balston Mercantile,info@balstonmercantile.com,USA,https://balstonmercantile.com,Imported,CSV Import
Heirloom Consignment,info@heirloomconsignments.com,USA,https://heirloomconsignments.com,Imported,CSV Import
Dottir Maine,bethany@dottirmaine.com,USA,https://www.dottirmaine.com,Imported,CSV Import
Asia West,shopasiawest@gmail.com,USA,https://www.asiawest.net/home-decor,Imported,CSV Import
The Royal Standard,wholesale@theroyalstandard.com,USA,https://www.theroyalstandard.com,Imported,CSV Import
Messengers Gifts,inventory@messengersgifts.com,USA,https://www.messengersgifts.com,Imported,CSV Import
Blue Ocean Traders,marketing@blueoceantraders.com,USA,https://blueoceantraders.com,Imported,CSV Import
Findings,shop@findingsetcwichita.com,USA,https://findingsetcwichita.com,Imported,CSV Import
Garden Wire Decor,stuart@gardenwiredecor.com,USA,https://www.gardenwiredecor.com,Imported,CSV Import
Hampton Designs Studio & Shop,adamhamptondesigns@gmail.com,,https://www.visitindy.com/directory/hampton-designs-studio-shop/,Imported,CSV Import
Decorate,decorateindy@gmail.com,,https://decorateindy.com,Imported,CSV Import
Victory Home,coco@victoryhomeboise.com,,https://www.victoryhomeboise.com,Imported,CSV Import
SCENIC The Storied Home,team@scenichome.com,,https://www.scenichome.com/contact,Imported,CSV Import
UpCountry Home,uchadac@upcountryhome.com,USA,https://upcountryhome.com,Imported,CSV Import
Butler Group Gifts,showroom@butlergroupgifts.com,USA,https://butlergroupgifts.online/,Imported,CSV Import
White Elephant,whiteelephantfl@msn.com,USA,https://whiteelephantfl.com/Scripts/PublicSite/,Imported,CSV Import
The Globe Imports,sales@globeimports.com,USA,https://www.globeimports.com,Imported,CSV Import
DAGAST,info@dagast.com,USA,https://dagast.com/pages/about-us,Imported,CSV Import
Vivid Hue Home + Gifts,shopvividhuehome@gmail.com,USA,https://vividhuehome.com,Imported,CSV Import
Massimo Interior Design,info@massimointeriordesign.com,USA,https://massimointeriordesign.com/contact/,Imported,CSV Import
Total AZ Wholesale,totalaz@totalaz.com,USA,https://totalaz.com,Imported,CSV Import
Dialog,hello@dialogphx.com,USA,https://dialogphx.com,Imported,CSV Import
Royal Gift Shop,royalgiftshopllc@gmail.com,USA,https://royalgiftshopllc.com,Imported,CSV Import
Peaceful Nest,info@mypeacefulnest.com,USA,https://www.mypeacefulnest.com,Imported,CSV Import
